Carimbo de data/hora,"Ao prosseguir, você declara que leu e entendeu as informações acima e concorda em participar voluntariamente desta pesquisa.",1.  Você é?  ,  2. Você já perdeu algum objeto dentro do IFNMG?  ,"
3. Se sim, Conseguiu recuperar o objeto perdido?","4. Com que frequência você observa objetos perdidos no campus (salas, biblioteca, corredores etc.)?  ",5.  Você sabe se existe algum local ou setor específico para entregar ou buscar objetos perdidos no IFNMG? ,6. Você já encontrou algum objeto e não sabia onde devolver? ,"7. Na sua opinião, qual é a principal dificuldade no processo atual de achados e perdidos?  ",8.Quais funcionalidades você considera mais importantes em um sistema de achados e perdidos?  ,9.Deixe uma sugestão ou comentário sobre o processo de achados e perdidos no IFNMG:  
17/11/2025 19:05:48,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Não,Sim,As duas primeiras alternativas ,,"Bom, não ter um controle ou registro dos objetos é bem ruim, e a divulgação sobre onde devolver praticamente não existe. Se tivesse um setor na instituição que cuidasse dessa parte de forma responsável, as pessoas conseguiriam achar seus objetos com mais facilidade. Dependendo do objeto, pode causar um grande prejuízo ao envolvido, como por exemplo: celulares, cartões de crédito, chaves, dentre outros."
17/11/2025 19:39:08,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Raramente,Não,Sim,Falta de interesse ou responsabilidade dos usuários,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 19:51:43,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Confirmação segura de devolução, Área pública com lista atualizada de objetos",.
17/11/2025 19:52:34,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 19:53:30,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado, Confirmação segura de devolução",
17/11/2025 19:55:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,Notificação quando um item for encontrado,
17/11/2025 19:56:15,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado",
17/11/2025 19:56:55,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Raramente,Não tenho certeza,Não,Falta de interesse ou responsabilidade dos usuários,Notificação quando um item for encontrado,
17/11/2025 19:58:57,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Às vezes,Sim,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:01:44,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Sim,Não,Falta de interesse ou responsabilidade dos usuários,"Cadastro de objetos encontrados, Confirmação segura de devolução",
17/11/2025 20:07:05,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Raramente,Sim,,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:09:37,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Não tenho certeza,Não,Falta de controle ou registro dos objetos,Notificação quando um item for encontrado,
17/11/2025 20:11:10,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:13:10,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,Cadastro de objetos encontrados,
17/11/2025 20:19:06,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não tenho certeza,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução","Geralmente quando perdemos as coisas postamos nos grupos do whatsapp, oque é muito bom, mas pegar esses objetos é oque torna difícil e muitas vezes não sabemos se o item foi encontrado e/ou devolvido para o seu legítimo dono"
17/11/2025 20:24:46,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Sim,Não,Falta de interesse ou responsabilidade dos usuários,Cadastro de objetos encontrados,Nada a declarar
17/11/2025 20:26:19,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Não tenho certeza,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Área pública com lista atualizada de objetos",
17/11/2025 20:40:25,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Sim,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Área pública com lista atualizada de objetos",
17/11/2025 20:48:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Raramente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:54:16,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Não tenho certeza,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Área pública com lista atualizada de objetos",
